1411.15;10364.7;-32.84;6764;89.0
1411.20;10365.4;-34.54;12014;89.0
1411.25;10366.2;-36.33;10804;89.0
1411.30;10367.0;-36.62;8196;89.0
1411.35;10367.7;-36.73;6765;89.0
1411.40;10368.6;-37.19;;89.0
1411.45;10369.4;-38.12;;89.0
1411.50;10370.1;-38.32;5546;89.0
1411.55;10370.6;-37.37;12564;89.0
1411.60;10371.3;-36.04;12716;89.0
1411.65;10372.1;-35.65;7133;89.0
1411.70;10372.6;-35.37;4345;89.0
1411.75;10373.1;-34.48;9078;89.0
1411.80;10373.9;-34.79;8862;89.0
1411.85;10374.7;-36.44;7403;89.0
1411.90;10375.4;-37.22;10294;89.0
1411.95;10376.2;-37.32;8718;89.0
1412.00;10377.2;-37.42;11814;89.0
1412.05;10378.1;-38.07;8647;89.0
1412.10;10379.3;-37.79;4306;89.0
1412.15;10380.2;-36.70;7198;89.0
1412.20;10380.9;-36.47;4408;89.0
1412.25;10381.6;-35.76;5752;89.0
1412.30;10382.3;-35.70;4974;89.0
1412.35;10383.2;-35.67;16539;89.0
1412.40;10383.9;-35.51;7465;89.0
1412.45;10384.7;-35.38;8442;89.0
1412.50;10385.5;-35.80;32304;89.0
1412.55;10386.4;-36.67;18767;89.0
1412.60;10387.1;-36.85;9502;89.0
1412.65;10387.9;-37.26;6458;89.0
1412.70;10388.6;-36.68;8537;89.0
1412.75;10389.4;-36.60;7133;89.0
1412.80;10390.2;-35.77;13184;89.0
1412.85;10390.9;-35.04;6506;89.0
1412.90;10391.6;-35.05;7652;89.0
1412.95;10392.2;-35.48;8167;89.0
1413.00;10392.9;-35.38;4043;89.0
1413.05;10393.7;-36.03;8931;89.0
1413.10;10394.4;-37.54;5304;89.0
1413.15;10395.1;-38.00;8832;89.0
1413.20;10396.0;-38.06;9376;89.0
1413.25;10396.6;-38.15;7086;89.0
1413.30;10397.3;-37.91;11351;89.0
1413.35;10398.0;-37.17;8218;89.0
1413.40;10398.6;-36.33;11132;89.0
1413.45;10399.4;-35.68;9227;89.0
1413.50;10400.3;-35.43;9071;89.0
1413.55;10401.3;-34.67;7767;89.0
1413.60;10402.3;-34.99;11205;89.0
1413.65;10403.0;-35.77;4175;89.0
1413.70;10403.7;-35.60;9995;89.0
1413.75;10404.7;-35.43;11613;89.0
1413.80;10405.5;-35.70;5478;89.0
1413.85;10406.1;-36.71;9219;89.1
1413.90;10407.0;-37.54;4942;90.0
1413.95;10407.8;-37.04;5601;90.0
1414.00;10408.6;-36.72;9965;90.0
1414.05;10409.2;-36.27;11228;90.0
1414.10;10409.8;-35.61;11608;90.0
1414.15;10410.6;-35.36;10213;90.0
1414.20;10411.6;-36.28;9128;90.0
1414.25;10412.4;-36.77;9105;90.0
1414.30;10413.1;-36.44;11548;90.0
1414.35;10413.8;-35.55;7680;90.0
1414.40;10414.4;-35.14;8186;90.0
1414.45;10415.1;-36.11;14392;90.0
1414.50;10416.0;-37.28;10198;90.0
1414.55;10416.6;-37.28;7279;90.0
1414.60;10417.3;-35.84;14042;90.0
1414.65;10418.0;-33.85;8360;90.0
1414.70;10418.5;-33.87;6239;90.0
1414.75;10419.1;-35.97;12127;90.0
1414.80;10420.0;-37.43;9002;90.0
1414.85;10420.7;-36.89;7831;90.0
1414.90;10421.5;-35.54;9709;90.0
1414.95;10422.2;-35.18;10589;90.0
1415.00;10422.9;-36.97;5800;90.0
1415.05;10423.5;-38.95;7300;90.0
1415.10;10424.2;-38.67;5833;90.0
1415.15;10425.1;-37.11;7463;90.0
1415.20;10425.8;-35.59;6968;90.0
1415.25;10426.4;-34.71;18488;90.0
1415.30;10427.0;-34.84;11402;90.0
1415.35;10427.6;-35.51;7006;90.0
1415.40;10428.3;-36.17;14658;90.0
1415.45;10428.9;-37.26;6912;90.0
1415.50;10429.6;-36.90;8696;90.0
1415.55;10430.3;-35.39;8564;90.0
1415.60;10431.0;-34.47;8067;90.0
1415.65;10431.8;-34.27;7187;90.0
1415.70;10432.5;-33.96;8392;90.0
1415.75;10433.2;-33.48;;90.0
1415.80;10433.9;-34.05;6877;90.0
1415.85;10434.7;-35.89;8378;90.0
1415.90;10435.4;-37.76;6626;90.0
1415.95;10436.0;-37.82;8702;90.0
1416.00;10436.9;-37.20;8133;90.0
1416.05;10437.6;-37.02;7299;90.0
1416.10;10438.5;-36.79;8605;90.0
1416.15;10439.4;-36.75;8072;90.0
1416.20;10440.2;-36.44;11292;90.0
1416.25;10440.8;-36.29;4365;90.0
1416.30;10441.5;-35.49;19845;90.0
1416.35;10442.1;-34.59;6881;90.0
1416.40;10442.8;-34.13;6331;90.0
1416.45;10443.5;-33.69;6247;90.0
1416.50;10444.1;-33.02;7939;90.0
1416.55;10444.8;-33.27;12106;90.0
1416.60;10445.5;-34.35;14194;90.0
1416.65;10446.2;-35.04;9343;90.0
1416.70;10446.9;-36.00;8135;90.0
1416.75;10447.7;-36.81;8188;90.0
1416.80;10448.9;-37.49;8940;90.0
1416.85;10449.8;-38.49;18844;90.0
1416.90;10450.8;-38.17;7018;90.0
1416.95;10451.6;-37.28;12003;90.0
1417.00;10452.4;-36.78;12743;90.0
1417.05;10453.2;-36.23;17046;90.0
1417.10;10453.8;-36.38;2577;90.0
1417.15;10454.4;-36.27;6029;90.0
1417.20;10455.1;-36.59;10958;90.0
1417.25;10456.1;-37.57;7110;90.0
1417.30;10457.0;-38.28;5982;90.0
1417.35;10457.7;-38.01;5127;90.0
1417.40;10458.5;-37.06;;90.0
1417.45;10459.2;-35.47;5377;90.0
1417.50;10460.0;-34.14;6232;90.0
1417.55;10460.8;-34.41;9505;90.0
1417.60;10461.7;-34.89;9369;90.0
1417.65;10462.5;-34.90;5283;90.0
1417.70;10463.2;-35.07;;90.0
1417.75;10464.0;-36.15;4609;90.0
1417.80;10464.6;-36.14;6527;90.0
1417.85;10465.3;-35.23;14434;90.0
1417.90;10466.1;-34.79;13505;90.0
1417.95;10466.8;-36.35;8003;90.0
1418.00;10467.4;-37.04;8343;90.0
1418.05;10468.2;-36.51;5640;90.0
1418.10;10469.1;-36.55;9722;90.0
1418.15;10469.7;-35.78;4927;90.0
1418.20;10470.5;-35.86;15699;90.0
1418.25;10471.4;-36.08;7583;90.0
1418.30;10472.2;-36.76;9650;90.0
1418.35;10472.9;-36.59;4796;90.0
1418.40;10473.7;-35.41;8085;90.0
1418.45;10474.3;-34.04;7143;90.0
1418.50;10474.9;-33.69;6045;90.0
1418.55;10476.1;-34.74;12101;90.0
1418.60;10476.9;-34.76;4715;90.0
1418.65;10477.6;-33.76;8632;90.0
